Value.element_type,Value.first_name,Value.id,Value.now_cost,Value.points_per_game,Value.selected_by_percent,Value.team,Value.total_points,Value.web_name,Value.minutes,Value.goals_scored,Value.assists,Value.clean_sheets,Value.goals_conceded,Value.own_goals,Value.penalties_saved,Value.penalties_missed,Value.yellow_cards,Value.red_cards,Value.saves,Value.bonus,Value.bps,Value.influence,Value.creativity,Value.threat,Value.ict_index,Value.starts,Value.expected_goals,Value.expected_assists,Value.expected_goal_involvements,Value.expected_goals_conceded,Value.influence_rank,Value.influence_rank_type,Value.creativity_rank,Value.creativity_rank_type,Value.threat_rank,Value.threat_rank_type,Value.ict_index_rank,Value.ict_index_rank_type,Value.expected_goals_per_90,Value.saves_per_90,Value.expected_assists_per_90,Value.expected_goal_involvements_per_90,Value.expected_goals_conceded_per_90,Value.goals_conceded_per_90,Value.now_cost_rank,Value.now_cost_rank_type,Value.points_per_game_rank,Value.points_per_game_rank_type,Value.selected_rank,Value.selected_rank_type,Value.clean_sheets_per_90
4,Aleksandar,278,7.5,4.5,6.2,10,107,Mitrovi?,2010,14,2,7,30,0,0,4,7,0,0,14,324,584.8,228.3,1171,197.1,23,15.31,1.31,16.62,35.7,73,7,135,14,10,6,31,7,0.69,0,0.06,0.75,1.6,1.34,19,7,20,7,57,10,0.31
4,Darwin,293,7.5,3.4,6.1,11,100,Darwin,1684,9,5,7,22,0,0,0,1,1,0,8,310,458.2,336.9,1078,186,19,12.15,2.66,14.81,28.62,116,10,95,7,12,7,38,8,0.65,0,0.14,0.79,1.53,1.18,27,11,106,14,58,11,0.37
3,Phil,353,7.5,4.4,10.6,13,142,Foden,1832,11,7,5,16,0,0,0,1,0,0,15,517,684.8,707.4,717,210.9,22,5.75,4.73,10.48,17.62,47,22,29,23,28,17,26,19,0.28,0,0.23,0.51,0.87,0.79,21,13,25,11,40,13,0.25
4,Cody,297,7.5,4.3,5.2,11,90,Gakpo,1455,7,3,6,19,0,0,0,0,0,0,4,256,375.6,292.4,460,112.3,17,6.43,1.87,8.3,19.56,162,15,108,8,61,17,96,15,0.4,0,0.12,0.52,1.21,1.18,25,10,32,9,68,13,0.37
3,Jack,354,7.5,4.3,8.6,13,121,Grealish,2051,5,10,10,16,0,0,0,4,0,0,9,490,515.8,721.3,683,191.7,23,4.5,6.74,11.24,14.46,96,44,27,21,31,20,35,26,0.2,0,0.3,0.5,0.63,0.7,18,11,31,14,46,16,0.44
3,Kai,6,7.5,2.9,7,1,102,Havertz,2565,7,1,9,31,0,0,0,5,0,0,13,301,476.4,536.6,1014,202.5,30,11.58,2.75,14.33,38.25,110,51,48,40,15,6,27,20,0.41,0,0.1,0.51,1.34,1.09,24,14,156,64,53,17,0.32
3,Luis,303,7.5,3.6,6.7,11,62,Luis Díaz,991,4,2,4,11,0,0,0,2,0,0,7,166,245.4,200.6,404,85,11,2.48,1.32,3.8,11.99,217,99,149,97,76,53,141,83,0.23,0,0.12,0.35,1.09,1,26,15,87,37,55,18,0.36
3,Riyad,359,7.5,4.2,1.6,13,126,Mahrez,1913,5,12,6,23,0,0,0,2,0,0,11,470,540,803.1,524,186.5,22,5.4,5.22,10.62,18.28,89,40,20,17,51,35,37,28,0.25,0,0.25,0.5,0.86,1.08,17,10,36,17,135,50,0.28
3,Dominik,309,7,0,9.1,11,0,Szoboszlai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,246,577,246,577,246,577,246,0,0,0,0,0,0,35,22,577,246,44,14,0
3,Mason,209,7,3.4,8.9,14,82,Mount,1644,3,4,8,21,0,0,0,4,0,0,8,277,331.4,463.1,376,117.2,20,1.97,2.81,4.78,23.53,174,77,59,50,86,59,91,62,0.11,0,0.15,0.26,1.29,1.15,32,19,105,44,45,15,0.44
3,Jarrod,526,7,3.8,4.3,19,145,Bowen,3232,6,9,9,50,0,0,1,2,0,0,9,431,630.2,686.4,1099,241.8,36,9.38,6,15.38,47.84,65,30,30,24,11,5,18,12,0.26,0,0.17,0.43,1.33,1.39,31,18,67,29,78,26,0.25
3,Raheem,216,7,3.6,3.7,7,101,Sterling,1886,6,4,5,27,0,0,0,4,0,0,9,274,399.6,495.4,647,153.9,23,6.21,3.22,9.43,27.83,148,65,54,46,35,24,58,42,0.3,0,0.15,0.45,1.33,1.29,29,16,86,36,82,28,0.24
3,Leandro,26,7,4.3,2.8,1,154,Trossard,2237,8,13,8,38,0,0,0,1,0,0,8,494,666,711.4,875,225.2,26,6.37,6.02,12.39,30.79,52,23,28,22,22,13,22,15,0.26,0,0.24,0.5,1.24,1.53,30,17,30,13,99,34,0.32
4,Nicolas,211,7,0,0.8,7,0,N.Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,72,578,72,578,72,578,72,0,0,0,0,0,0,38,13,578,72,197,37,0
3,Dejan,501,7,3.2,2.2,18,96,Kulusevski,2062,2,7,8,40,0,0,0,2,0,0,5,310,410.8,639.4,514,156,23,2.68,4.76,7.44,30.15,140,61,36,30,53,36,55,40,0.12,0,0.21,0.33,1.32,1.75,36,23,122,50,110,39,0.35
4,Romelu,207,7,0,0.7,7,0,Lukaku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,71,576,71,576,71,576,71,0,0,0,0,0,0,28,12,576,71,218,42,0
3,Antony Matheus,372,7,3.3,2,14,82,Antony,1803,4,2,12,21,0,0,0,5,0,0,4,262,322,421,633,137.1,23,6.65,2.42,9.07,25.37,176,78,69,56,37,26,69,51,0.33,0,0.12,0.45,1.27,1.05,37,24,112,47,120,45,0.6
3,Richarlison,509,7,2,2,18,54,Richarlison,995,1,5,3,18,0,0,0,3,0,0,2,165,209.8,221.5,435,86.3,12,3.43,1.46,4.89,14.99,240,105,140,93,67,48,138,82,0.31,0,0.13,0.44,1.36,1.63,34,21,262,107,121,46,0.27
3,Jadon,397,7,4,1.8,14,105,Sancho,1683,6,3,13,18,0,0,0,0,0,0,8,375,433.8,571.6,426,143.2,21,4.02,4.13,8.15,24.95,127,56,40,33,69,49,66,48,0.21,0,0.22,0.43,1.33,0.96,33,20,50,22,131,48,0.7
3,Kaoru,143,6.5,4.2,39.7,5,138,Mitoma,2311,7,9,8,35,0,0,0,0,0,0,11,457,569.6,569.4,867,200.4,24,8.29,4.93,13.22,35.52,80,37,41,34,23,14,30,22,0.32,0,0.19,0.51,1.38,1.36,51,31,35,16,4,2,0.31
2,Kieran,430,6.5,5.2,33.8,15,198,Trippier,3342,1,9,16,31,1,0,0,5,0,0,39,941,908.2,1824,123,285.8,38,0.85,12.03,12.88,38.41,14,2,1,1,196,52,9,1,0.02,0,0.32,0.34,1.03,0.83,41,2,12,1,8,4,0.43
3,Bryan,108,6.5,3.9,27.4,4,150,Mbeumo,2905,9,9,10,39,0,0,0,5,0,0,19,556,692.6,808.6,895,239.5,36,9.48,5.53,15.01,41.96,46,21,19,16,20,11,19,13,0.29,0,0.17,0.46,1.3,1.21,50,30,60,26,12,4,0.31
3,Eberechi,226,6.5,4.2,12.3,8,159,Eze,2631,10,5,9,35,0,0,0,3,0,0,21,580,702.6,833.6,635,217,30,7.25,2.92,10.17,32.64,43,18,18,15,36,25,25,18,0.25,0,0.1,0.35,1.12,1.2,49,29,34,15,35,11,0.31
4,Dominic,85,6.5,3.9,2.8,3,130,Solanke,2865,6,10,8,52,0,0,0,2,0,0,14,339,528.8,282.1,1053,185.7,32,9.09,2.3,11.39,51.51,91,8,112,10,13,8,39,9,0.29,0,0.07,0.36,1.62,1.63,45,16,59,11,98,20,0.25
