Value.element_type,Value.first_name,Value.id,Value.now_cost,Value.points_per_game,Value.selected_by_percent,Value.team,Value.total_points,Value.web_name,Value.minutes,Value.goals_scored,Value.assists,Value.clean_sheets,Value.goals_conceded,Value.own_goals,Value.penalties_saved,Value.penalties_missed,Value.yellow_cards,Value.red_cards,Value.saves,Value.bonus,Value.bps,Value.influence,Value.creativity,Value.threat,Value.ict_index,Value.starts,Value.expected_goals,Value.expected_assists,Value.expected_goal_involvements,Value.expected_goals_conceded,Value.influence_rank,Value.influence_rank_type,Value.creativity_rank,Value.creativity_rank_type,Value.threat_rank,Value.threat_rank_type,Value.ict_index_rank,Value.ict_index_rank_type,Value.expected_goals_per_90,Value.saves_per_90,Value.expected_assists_per_90,Value.expected_goal_involvements_per_90,Value.expected_goals_conceded_per_90,Value.goals_conceded_per_90,Value.now_cost_rank,Value.now_cost_rank_type,Value.points_per_game_rank,Value.points_per_game_rank_type,Value.selected_rank,Value.selected_rank_type,Value.clean_sheets_per_90
3,Andreas,267,5.5,3.7,4.7,10,123,Andreas,2696,4,10,8,40,0,0,0,8,0,0,9,360,440.6,965,495,189.3,33,7.16,4.26,11.42,47.49,121,55,12,10,55,38,36,27,0.24,0,0.14,0.38,1.59,1.34,98,60,74,30,73,24,0.27
2,Ben,195,5.5,3,4.6,7,70,Chilwell,1402,2,3,4,19,0,0,0,3,0,0,4,302,283.4,382.6,178,84.2,15,1.57,2.49,4.06,18.25,200,73,83,15,159,27,142,33,0.1,0,0.16,0.26,1.17,1.22,104,9,138,45,75,25,0.26
4,Odsonne,225,5.5,2.3,1.5,8,82,Edouard,1788,5,2,5,25,0,0,0,3,0,0,5,225,351.6,238.7,552,113.2,20,4.14,0.8,4.94,24.19,172,17,127,13,48,16,95,14,0.21,0,0.04,0.25,1.22,1.26,110,31,214,25,140,28,0.25
4,Iliman,486,5.5,0,1.5,17,0,Ndiaye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,68,573,68,573,68,573,68,0,0,0,0,0,0,131,33,573,68,141,29,0
3,Carlos Henrique,376,5.5,3.1,3.5,14,87,Casemiro,2122,4,3,10,22,0,0,0,7,2,0,10,389,644,418.8,299,136.3,24,3.49,3.82,7.31,29.3,61,26,71,57,102,68,70,52,0.15,0,0.16,0.31,1.24,0.93,79,48,125,51,85,30,0.42
3,Sandro,429,5.5,0,2.5,15,0,Tonali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,245,572,245,572,245,572,245,0,0,0,0,0,0,128,82,572,245,101,35,0
4,Deniz,149,5.5,2.4,0.9,5,52,Undav,614,5,2,2,9,1,0,0,2,0,0,4,173,196.4,124,372,69.1,6,4.89,1.25,6.14,9.03,245,24,200,24,89,24,185,23,0.72,0,0.18,0.9,1.32,1.32,133,35,208,23,183,35,0.29
3,Douglas Luiz,43,5.5,3.8,2.5,2,142,Douglas Luiz,2922,6,7,13,35,0,0,0,6,1,0,17,594,698.4,668.6,261,162.7,33,2.79,2.92,5.71,42.8,44,19,33,27,120,76,49,36,0.09,0,0.09,0.18,1.32,1.08,123,77,66,28,102,36,0.4
4,Eddie,13,5.5,2.1,0.8,1,63,Nketiah,1071,4,2,2,16,0,0,0,3,0,0,5,161,213.4,128.5,607,93.8,9,7.89,1.26,9.15,14.65,238,23,196,23,40,13,125,19,0.66,0,0.11,0.77,1.23,1.34,117,32,239,29,203,39,0.17
4,Wout,183,5.5,1.4,0.7,6,24,Weghorst,790,0,1,4,11,0,0,0,1,0,0,0,56,97.6,183.7,144,42.4,10,2.02,1.16,3.18,14.6,296,30,158,18,181,33,252,31,0.23,0,0.13,0.36,1.66,1.25,88,28,332,37,214,41,0.46
3,Rodrigo,365,5.5,3,2,13,108,Rodrigo,2911,2,6,11,26,0,0,0,5,0,0,7,606,716,555.9,493,176.9,34,4.53,3.49,8.02,25.24,39,16,43,36,56,39,41,30,0.14,0,0.11,0.25,0.78,0.8,121,76,140,57,118,43,0.34
4,Raúl,558,5.5,1.9,0.3,20,29,Raúl,839,0,2,2,18,0,0,0,0,0,0,0,65,74.6,117.1,277,46.7,8,2.55,0.55,3.1,16,312,32,210,27,112,29,239,29,0.27,0,0.06,0.33,1.72,1.93,85,27,270,30,296,56,0.21
3,Philip,63,5.5,3.5,1.1,3,126,Billing,2766,7,2,9,54,0,0,0,5,0,0,14,475,637.4,401.1,445,148.4,34,4.6,2.56,7.16,49.46,63,28,77,61,63,45,60,44,0.15,0,0.08,0.23,1.61,1.76,100,61,95,39,168,59,0.29
3,Joe,432,5.5,3.5,1,15,123,Willock,2556,3,7,12,26,0,0,0,1,0,0,11,415,520.8,547,680,174.9,31,7.3,4.29,11.59,29.62,93,42,45,37,32,21,42,31,0.26,0,0.15,0.41,1.04,0.92,111,67,96,40,173,60,0.42
4,Jay,177,5.5,0,0.3,6,0,Rodriguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,65,568,65,565,65,568,65,0,0,0,0,0,0,78,26,568,65,326,62,0
3,Dwight,259,5.5,3.5,1,9,126,McNeil,2490,7,5,5,46,0,0,0,5,0,0,14,505,718.8,771.4,464,195.8,28,3.51,5.45,8.96,51.3,38,15,22,19,60,43,32,23,0.13,0,0.2,0.33,1.85,1.66,129,83,97,41,179,63,0.18
4,Oliver,485,5.5,0,0.3,17,0,McBurnie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,67,570,67,570,67,570,67,0,0,0,0,0,0,101,30,570,67,334,64,0
3,Noni,208,5.5,2.2,0.9,7,26,Madueke,639,1,0,0,13,0,0,0,0,0,0,2,105,153.8,170.8,224,55,7,0.9,0.72,1.62,13.11,264,115,170,108,136,88,215,102,0.13,0,0.1,0.23,1.85,1.83,127,81,226,92,186,66,0
3,Mathias,106,5.5,3.6,0.9,4,132,Jensen,2805,5,7,10,40,0,0,0,5,0,0,11,498,644,787.9,208,164.1,37,2.34,4.79,7.13,40.47,62,27,21,18,146,95,48,35,0.08,0,0.15,0.23,1.3,1.28,118,73,82,33,190,67,0.32
3,Leon,34,5.5,3,0.8,2,100,Bailey,1964,4,5,8,32,0,0,0,4,0,0,6,242,339.6,452.8,540,132.8,26,5.34,4.77,10.11,35.15,173,76,61,52,50,34,72,54,0.24,0,0.22,0.46,1.61,1.47,120,75,139,56,195,68,0.37
4,Fábio,552,5.5,0,0.1,20,0,Fábio Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,69,574,69,574,69,574,69,0,0,0,0,0,0,132,34,574,69,465,70,0
3,Alex,256,5.5,3.3,0.7,9,126,Iwobi,3379,2,8,9,56,0,0,0,2,0,0,9,563,693.4,946,373,201.3,38,2.56,4.31,6.87,66.42,45,20,13,11,88,60,28,21,0.07,0,0.11,0.18,1.77,1.49,96,58,109,45,215,72,0.24
3,Manuel Benson,159,5.5,0,0.6,6,0,Benson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,244,571,244,571,244,571,244,0,0,0,0,0,0,107,65,571,244,237,76,0
3,Pierre-Emile,499,5.5,3.4,0.4,18,120,Højbjerg,3131,4,5,10,57,0,0,0,5,0,0,10,629,758,501.7,237,150,35,2.02,3.13,5.15,45.05,29,12,53,45,128,82,59,43,0.06,0,0.09,0.15,1.29,1.64,94,56,103,43,260,81,0.29
3,Demarai,253,5.5,2.8,0.4,9,91,Gray,2501,4,1,7,39,0,0,0,3,0,0,4,284,410.8,614.7,707,173.2,27,6.17,3.82,9.99,46.59,139,60,38,31,30,19,43,32,0.22,0,0.14,0.36,1.68,1.4,103,62,166,67,264,82,0.25
3,John,50,5.5,2.6,0.4,2,90,McGinn,2692,1,5,10,31,0,0,0,7,0,0,3,354,382,353.6,347,108.3,30,2.4,3.33,5.73,37.73,155,68,91,68,91,61,102,67,0.08,0,0.11,0.19,1.26,1.04,91,53,187,74,274,86,0.33
3,Marcus,86,5.5,4.1,0.4,3,94,Tavernier,1740,5,4,5,37,0,0,0,1,0,0,12,315,459.8,348.4,436,124.2,19,3.13,1.37,4.5,31.77,115,53,94,71,66,47,81,57,0.16,0,0.07,0.23,1.64,1.91,113,69,42,19,282,91,0.26
3,Anthony,412,5.5,2.1,0.4,15,68,Gordon,1574,4,0,4,18,0,0,0,7,0,0,5,186,311.2,226.6,550,108.8,16,4.73,1.29,6.02,25.18,182,83,136,91,49,33,101,66,0.27,0,0.07,0.34,1.44,1.03,125,79,240,96,287,94,0.23
3,Conor,202,5.5,1.9,0.3,7,66,Gallagher,1608,3,1,4,23,0,0,0,9,1,0,7,279,386.2,351.5,329,106.5,18,2.55,1.73,4.28,30.95,152,66,93,70,95,64,105,68,0.14,0,0.1,0.24,1.73,1.29,124,78,271,114,305,95,0.22
3,Abdoulaye,249,5.5,3,0.3,9,76,A.Doucoure,1527,5,2,4,27,0,0,0,6,1,0,10,263,360.4,284.1,255,89.7,17,2.61,1.52,4.13,32.1,169,74,111,80,121,77,134,81,0.15,0,0.09,0.24,1.89,1.59,90,52,137,55,307,96,0.24
3,Jorge Luiz,9,5.5,2.5,0.3,1,79,Jorginho,2127,2,2,9,23,0,0,0,4,0,0,5,379,400.4,261.4,98,76.1,24,1.89,0.96,2.85,24.41,146,63,120,83,220,119,164,91,0.08,0,0.04,0.12,1.03,0.97,81,50,197,77,310,97,0.38
3,Jordan,221,5.5,2.7,0.3,8,104,J.Ayew,2708,4,3,8,41,0,0,0,5,0,0,4,332,494.4,468.2,439,140.3,31,3.13,2.52,5.65,41.13,102,46,58,49,65,46,68,50,0.1,0,0.08,0.18,1.37,1.36,80,49,176,70,321,101,0.27
3,Kevin,115,5.5,1.6,0.3,4,29,Schade,723,0,1,3,7,0,0,0,2,0,0,0,76,74.4,115.5,209,39.8,7,2.07,0.67,2.74,7.18,314,139,213,124,145,94,257,121,0.26,0,0.08,0.34,0.89,0.87,137,87,304,131,336,105,0.37
3,Pedro,567,5.5,2.1,0.3,20,37,Neto,962,0,2,5,15,0,0,0,1,0,0,0,124,96.8,309.5,203,60.9,13,1.12,1.64,2.76,14.34,298,132,102,77,147,96,200,98,0.1,0,0.15,0.25,1.34,1.4,126,80,241,97,343,107,0.47
3,Emile,22,5.5,1.5,0.2,1,18,Smith Rowe,161,0,2,0,5,0,0,0,0,0,0,0,60,53.8,74.4,41,16.7,0,0.25,0.55,0.8,2.71,333,147,257,136,289,145,315,145,0.14,0,0.31,0.45,1.51,2.8,119,74,318,139,351,108,0
3,Harry,288,5.5,2.3,0.2,10,68,Wilson,1085,2,5,2,15,0,0,0,1,0,0,2,215,215.2,184.1,178,57.7,13,2.03,1.03,3.06,21.44,235,103,157,101,158,102,210,101,0.17,0,0.09,0.26,1.78,1.24,97,59,213,84,356,109,0.17
3,Danilo,442,5.5,3.7,0.2,16,48,Danilo,976,3,2,1,18,0,0,0,1,0,0,5,178,253.8,108.1,113,47.1,12,1.58,0.56,2.14,20.32,215,97,223,126,209,115,237,113,0.15,0,0.05,0.2,1.87,1.66,136,86,75,31,374,113,0.09
3,Daniel,568,5.5,2.9,0.2,20,92,Podence,1760,6,1,6,31,0,0,0,5,0,0,10,249,376,512.8,580,146.8,20,3.88,2.19,6.07,28.24,161,71,51,43,44,31,63,46,0.2,0,0.11,0.31,1.44,1.59,112,68,152,62,381,114,0.31
3,Christian,213,5.5,1.6,0.2,7,39,Pulisic,805,1,1,3,11,0,0,0,1,0,0,0,102,120.4,166.8,227,51.1,8,1.67,0.38,2.05,14.13,283,123,172,109,133,85,223,105,0.19,0,0.04,0.23,1.58,1.23,105,63,303,130,392,118,0.34
3,Hakim,218,5.5,1.8,0.2,7,33,Ziyech,649,0,3,2,7,0,0,0,1,0,0,0,129,155.4,230.9,113,49,6,0.65,1.51,2.16,8.8,262,114,131,89,208,114,229,109,0.09,0,0.21,0.3,1.22,0.97,92,54,284,121,394,119,0.28
3,Christian,110,5.5,3.2,0.2,4,71,Nørgaard,1763,1,6,6,23,0,0,0,6,0,0,6,309,379.2,173.7,269,82.3,21,1.64,1.74,3.38,25.13,156,69,167,106,115,73,147,87,0.08,0,0.09,0.17,1.28,1.17,93,55,120,48,399,122,0.31
3,Hwang,557,5.5,2.2,0.2,20,60,Hee Chan,1117,3,2,3,18,0,0,0,1,0,0,3,156,195.2,150.2,242,58.8,12,2.97,0.62,3.59,16.92,246,107,181,113,125,80,207,100,0.24,0,0.05,0.29,1.36,1.45,108,66,225,91,401,123,0.24
3,Maxwel,527,5.5,1,0.2,19,14,Cornet,232,0,0,0,5,0,0,0,0,0,0,0,22,27.8,30.7,71,12.5,2,1.26,0.12,1.38,4.77,347,155,301,153,250,130,327,151,0.49,0,0.05,0.54,1.85,1.94,95,57,379,176,420,126,0
3,Bobby,270,5.5,2.5,0.2,10,90,De Cordova-Reid,2473,4,1,8,40,0,0,0,8,0,0,3,289,365.2,326.6,508,119.7,29,3.91,1.49,5.4,46.78,166,73,97,73,54,37,88,61,0.14,0,0.05,0.19,1.7,1.46,82,51,198,78,426,130,0.29
3,Gonçalo Manuel,554,5.5,2.2,0.2,20,29,Guedes,703,1,1,2,12,0,0,0,1,0,0,1,85,89.4,139.6,223,45.1,8,1.2,0.45,1.65,11.99,305,136,190,117,137,89,245,116,0.15,0,0.06,0.21,1.53,1.54,106,64,224,90,433,132,0.26
3,Vitaly,105,5.5,2.4,0.2,4,85,Janelt,2201,3,1,8,28,0,0,0,3,0,0,5,357,411.2,258.8,243,91.3,24,2.33,1.56,3.89,29.68,138,59,122,84,123,78,130,79,0.1,0,0.06,0.16,1.21,1.14,116,72,207,81,435,133,0.33
3,Fábio,4,5.5,1.8,0.1,1,40,Fábio Vieira,500,1,2,2,5,0,0,0,0,0,0,2,134,116,180.6,123,41.5,3,0.86,1.39,2.25,5.28,287,125,160,102,195,111,256,120,0.15,0,0.25,0.4,0.95,0.9,130,84,285,122,461,144,0.36
3,Rodrigo,492,5.5,3.9,0,18,71,Bentancur,1501,5,2,6,24,0,0,0,8,0,0,7,342,489.6,180.2,236,90.7,17,2.26,0.68,2.94,19.71,104,48,161,103,129,83,132,80,0.14,0,0.04,0.18,1.18,1.44,114,70,56,23,574,244,0.36
2,Pervis,131,5,3.7,50.5,5,128,Estupiñan,2674,1,7,10,43,0,0,0,4,0,0,15,593,575.2,757.9,297,162.5,31,1.8,3.88,5.68,41.6,75,21,24,4,103,9,50,5,0.06,0,0.13,0.19,1.4,1.45,216,24,72,18,2,1,0.34
1,Aaron,17,5,3.8,28,1,143,Ramsdale,3420,0,0,14,43,0,0,0,1,0,94,9,664,764.8,0,0,76.5,38,0,0.02,0.02,42.31,28,8,560,67,558,64,163,8,0,2.47,0,0,1.11,1.13,234,10,64,13,11,1,0.37
1,David,113,5,4.4,11.4,4,166,Raya,3420,0,0,12,46,1,0,0,1,0,154,20,822,1146,20.1,4,117.3,38,0.11,0.12,0.23,50.12,4,2,314,3,340,1,90,1,0,4.05,0,0,1.32,1.21,189,8,23,4,36,6,0.32
1,Emiliano,49,5,3.8,8.1,2,135,Martinez,3139,0,0,11,38,1,1,0,7,0,98,15,678,835.2,23,0,85.7,36,0,0.21,0.21,43.46,21,6,311,2,535,60,139,6,0,2.81,0.01,0.01,1.25,1.09,167,5,61,12,48,9,0.32
2,Oleksandr,31,5,3.7,14.7,1,99,Zinchenko,2122,1,2,10,28,0,0,0,3,0,0,8,500,405,387.7,190,98.3,26,1.32,2.39,3.71,26.67,143,53,82,14,151,24,119,25,0.06,0,0.1,0.16,1.13,1.19,219,26,73,19,26,10,0.42
2,Gabriel,5,5,3.8,14.6,1,146,Gabriel,3409,3,0,14,43,0,0,0,5,0,0,15,723,743.8,131.4,401,127.7,38,5.04,0.66,5.7,41.84,31,6,193,53,78,3,75,9,0.13,0,0.02,0.15,1.1,1.14,236,30,65,14,28,11,0.37
2,William,20,5,4.3,14.3,1,117,Saliba,2415,2,1,12,25,1,0,0,4,0,0,14,571,529,100.8,114,74.5,27,0.91,0.32,1.23,26.86,90,30,232,74,205,59,168,47,0.03,0,0.01,0.04,1,0.93,264,32,27,2,30,12,0.45
2,Ben,109,5,3.9,7.3,4,143,Mee,3269,3,2,12,40,0,0,0,2,0,0,11,643,780.6,103.1,336,122.2,37,3.19,0.74,3.93,46.31,26,5,227,71,94,6,84,13,0.09,0,0.02,0.11,1.27,1.1,147,14,52,9,51,17,0.33
1,Kepa,187,5,4.1,2.2,7,118,Arrizabalaga,2565,0,0,9,33,0,0,0,1,0,91,15,575,733.4,0.1,0,73.3,29,0,0,0,38.34,34,9,362,10,536,61,172,9,0,3.19,0,0,1.35,1.16,172,6,39,8,112,17,0.32
2,Nathan,342,5,3.5,7.1,13,92,Aké,1871,1,0,9,15,0,0,0,2,0,0,9,419,405.2,175.9,150,73.3,22,1.55,1.3,2.85,16.48,142,52,165,42,176,35,173,51,0.07,0,0.06,0.13,0.79,0.72,179,21,93,25,52,18,0.43
4,Carlos Vinícius,287,5,2.6,3,10,72,Vinícius,1098,5,2,1,20,0,0,0,3,0,0,10,206,244,118.6,374,73.1,11,3.04,0.72,3.76,24.8,219,21,208,26,87,23,174,22,0.25,0,0.06,0.31,2.03,1.64,246,48,185,20,95,18,0.08
1,José,569,5,4.1,1.6,20,148,José Sá,3240,0,0,11,55,0,2,0,2,0,108,18,683,862.2,0,0,86.4,36,0,0,0,54.63,17,5,540,65,538,62,137,5,0,3,0,0,1.52,1.53,183,7,40,9,139,21,0.31
2,Lisandro,391,5,3,5.2,14,81,Martinez,2113,1,0,9,33,0,0,0,6,0,0,6,481,571.8,110.4,82,76.7,24,0.46,1.02,1.48,32.52,78,24,219,67,233,76,162,44,0.02,0,0.04,0.06,1.39,1.41,232,29,136,44,67,23,0.38
2,Fabian,427,5,3.9,4.6,15,139,Schär,3207,1,3,15,28,1,0,0,7,0,0,6,617,680.8,264.7,523,147.1,36,4.63,2.05,6.68,36.65,48,10,118,26,52,1,62,7,0.13,0,0.06,0.19,1.03,0.79,178,20,53,10,74,24,0.42
4,Elijah,314,5,0,1.9,12,0,Adebayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,56,547,56,545,57,549,57,0,0,0,0,0,0,201,40,549,57,125,26,0
1,Guglielmo,520,5,0,1,18,0,Vicario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,67,548,66,546,63,550,67,0,0,0,0,0,0,208,9,550,67,170,26,0
2,Pedro,506,5,3.9,4.5,18,59,Pedro Porro,1132,3,3,2,26,0,0,0,0,0,0,5,253,330.4,403.7,175,90.9,13,1.81,2.29,4.1,19.42,175,64,76,12,161,28,131,29,0.14,0,0.18,0.32,1.54,2.07,257,31,55,12,76,26,0.16
2,Manuel,341,5,2.8,3.8,13,82,Akanji,2284,0,1,7,23,0,0,0,2,0,0,5,460,385.6,146.5,180,71.4,24,1.14,0.99,2.13,21.7,153,58,183,49,156,26,180,54,0.04,0,0.04,0.08,0.86,0.91,224,27,164,58,81,28,0.28
1,Hugo,502,5,3.6,0.8,18,89,Lloris,2205,0,0,7,39,1,0,0,0,0,79,12,456,540,0,0,54,25,0,0,0,30.16,88,13,532,64,527,59,219,13,0,3.22,0,0,1.23,1.59,139,4,81,16,198,31,0.29
2,Lewis,129,5,3.1,2.8,5,112,Dunk,3240,1,1,12,50,1,0,0,4,0,0,7,648,661.4,163.6,198,102.4,36,1.67,0.9,2.57,46.43,54,14,174,46,148,22,112,22,0.05,0,0.02,0.07,1.29,1.39,159,17,124,38,97,31,0.33
3,Enzo,199,5,2.3,3.1,7,42,Enzo,1547,0,2,3,25,0,0,0,3,0,0,1,265,315.8,334.3,74,72.6,18,0.78,2.64,3.42,24.91,178,80,96,72,246,129,177,93,0.05,0,0.15,0.2,1.45,1.45,260,168,211,82,94,33,0.17
2,Diogo,377,5,3.9,2.4,14,102,Dalot,2152,1,2,10,34,0,0,0,6,0,0,19,502,483.8,421.4,283,118.8,24,2.49,1.53,4.02,34.27,107,36,68,10,109,11,89,15,0.1,0,0.06,0.16,1.43,1.42,227,28,54,11,108,34,0.42
2,Ivan,507,5,2.8,1.9,18,94,Periši?,2099,1,8,6,44,0,0,0,6,0,0,6,430,517.8,732.8,394,164.2,23,2.48,5.23,7.71,33.91,94,31,26,5,80,4,47,4,0.11,0,0.22,0.33,1.45,1.89,142,12,162,57,123,35,0.26
2,Kyle,369,5,2.6,1.8,13,69,Walker,1953,0,0,7,20,0,0,0,3,0,0,0,376,236.8,199.4,42,47.7,22,0.39,1.32,1.71,20.07,221,81,150,37,286,106,235,81,0.02,0,0.06,0.08,0.92,0.92,150,15,181,69,130,38,0.32
2,Raphaël,395,5,3.2,1.4,14,77,R.Varane,1912,0,0,10,22,1,0,0,1,0,0,2,392,387,74,124,58.8,22,0.75,0.51,1.26,27.27,151,57,260,91,193,50,206,68,0.04,0,0.02,0.06,1.28,1.04,164,18,119,36,143,41,0.47
3,Moisés,126,5,2.1,2.1,5,79,Caicedo,3138,1,1,10,47,0,0,0,10,0,0,0,503,589.8,680.4,210,148.2,34,1.67,2.51,4.18,45.9,72,35,31,25,143,93,61,45,0.05,0,0.07,0.12,1.32,1.35,267,173,237,94,114,41,0.29
3,Alejandro,382,5,2.1,2.1,14,39,Garnacho,557,3,2,0,13,0,0,0,3,0,0,0,81,157.6,61.7,287,50.7,5,2.97,0.95,3.92,8.02,261,113,270,142,107,70,224,106,0.48,0,0.15,0.63,1.3,2.1,268,174,238,95,115,42,0
4,Emmanuel,443,5,2.1,0.7,16,39,Dennis,709,2,2,1,17,0,0,0,3,0,0,3,113,169.6,97.6,293,55.7,6,1.73,0.4,2.13,13.59,257,25,234,30,104,27,214,28,0.22,0,0.05,0.27,1.73,2.16,240,46,236,28,220,43,0.13
4,Neal,258,5,1.5,0.6,9,41,Maupay,1104,1,0,3,19,0,0,0,4,0,0,3,86,85.8,109.9,429,62.2,11,4.91,0.24,5.15,22.04,306,31,221,28,68,18,197,25,0.4,0,0.02,0.42,1.8,1.55,176,38,313,35,223,44,0.24
2,Ibrahima,302,5,2.7,1.2,11,49,Konaté,1551,0,0,7,22,1,0,0,5,0,0,0,305,285.6,39.6,144,46.8,17,1.21,0.65,1.86,24.34,197,72,290,106,180,39,238,82,0.07,0,0.04,0.11,1.41,1.28,217,25,175,64,152,44,0.41
3,Justin,72,5,0,2,3,0,Kluivert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,240,559,240,557,240,561,240,0,0,0,0,0,0,233,151,561,240,119,44,0
4,Kieffer,76,5,2.1,0.6,3,57,Moore,1269,4,0,3,34,0,0,0,1,0,0,3,161,219.4,100.1,280,59.5,12,4.18,0.5,4.68,25.51,233,22,233,29,111,28,203,27,0.3,0,0.04,0.34,1.81,2.41,181,39,235,27,236,45,0.21
2,Thiago,217,5,3,1.1,7,80,T.Silva,2351,0,2,6,32,0,0,0,2,0,0,8,524,676.8,90.4,147,91.4,26,1.54,1.04,2.58,34.83,49,11,240,78,177,36,129,28,0.06,0,0.04,0.1,1.33,1.23,146,13,135,43,159,47,0.23
4,Chris,468,5,2.1,0.5,16,53,Wood,807,3,0,4,9,0,0,0,0,0,0,7,163,145.2,82.1,169,39.3,9,2.71,0.37,3.08,11.8,270,27,249,31,163,32,260,32,0.3,0,0.04,0.34,1.32,1,152,37,233,26,246,47,0.45
3,Mateo,356,5,2,1.8,13,53,Kova?i?,1699,1,2,4,25,0,0,0,8,0,0,2,289,295.8,365.8,114,77.9,17,1.79,2.04,3.83,24,189,86,88,66,203,112,157,90,0.09,0,0.11,0.2,1.27,1.32,165,106,255,100,129,47,0.21
4,Armando,193,5,1.8,0.5,7,21,Broja,285,1,1,1,5,0,0,0,0,0,0,0,56,64.6,18.2,113,19.7,2,0.84,0.06,0.9,4.49,324,33,317,37,207,34,309,34,0.27,0,0.02,0.29,1.42,1.58,256,51,283,31,254,48,0.32
4,Rhian,477,5,0,0.4,17,0,Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,57,551,57,549,58,553,58,0,0,0,0,0,0,211,41,553,58,259,50,0
4,Jean-Philippe,232,5,1.4,0.3,8,41,Mateta,748,2,0,3,10,0,0,0,3,0,0,3,96,119.8,71.4,247,42.5,6,3.44,0.16,3.6,13.49,284,29,262,32,122,30,251,30,0.41,0,0.02,0.43,1.62,1.2,241,47,328,36,292,53,0.36
4,Chiedozie,328,5,0,0.3,12,0,Ogbene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,61,562,61,560,62,563,62,0,0,0,0,0,0,239,45,563,62,293,54,0
3,Harrison,282,5,2.9,1.2,10,107,Reed,2868,3,4,9,44,1,0,0,5,0,0,9,409,484.4,507.3,266,125.8,35,1.95,2.04,3.99,53.81,106,49,52,44,116,74,78,56,0.06,0,0.06,0.12,1.69,1.38,187,119,150,60,156,58,0.28
4,Michael,174,5,0,0.3,6,0,Obafemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,59,557,59,555,60,559,60,0,0,0,0,0,0,230,43,559,60,316,60,0
3,Tomáš,542,5,2.8,1,19,100,Sou?ek,2811,2,4,8,42,0,0,0,3,0,0,6,364,565.6,230.1,472,127.1,32,4.02,1.03,5.05,43.04,82,38,133,90,59,42,77,55,0.13,0,0.03,0.16,1.38,1.34,226,148,165,66,178,62,0.26
4,Sasa,562,5,1,0.2,20,1,Kalajdži?,45,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,9,0.7,1,0.27,0,0.27,0.62,563,62,563,62,326,41,377,42,0.54,0,0,0.54,1.24,0,250,49,377,40,347,65,0
4,David Datro,200,5,1,0.2,7,3,D.D.Fofana,68,0,0,0,1,0,0,0,0,0,0,0,8,15.2,34.6,30,8,1,0.57,0.04,0.61,1.72,355,38,299,35,299,39,341,38,0.75,0,0.05,0.8,2.28,1.32,270,53,378,41,370,66,0
2,Alexandre,32,5,3.8,0.7,2,72,Alex Moreno,1325,0,3,7,10,0,0,0,3,0,0,5,278,254.4,321.1,151,72.3,14,0.59,2.57,3.16,17.83,214,79,98,18,175,34,179,53,0.04,0,0.17,0.21,1.21,0.68,169,19,62,13,208,67,0.48
4,Lyle,168,5,0,0.2,6,0,Foster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,63,564,63,561,63,564,63,0,0,0,0,0,0,251,50,564,63,388,67,0
4,Keinan,39,5,0,0.2,2,0,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,60,558,60,556,61,560,61,0,0,0,0,0,0,231,44,560,61,431,68,0
3,Josh,161,5,0,0.8,6,0,Brownhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,233,546,233,544,233,548,233,0,0,0,0,0,0,200,131,548,233,201,69,0
4,Wesley,61,5,0,0.1,2,0,Wesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,58,556,58,554,59,558,59,0,0,0,0,0,0,225,42,558,59,480,71,0
4,Daniel,483,5,0,0.1,17,0,Jebbison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,64,566,64,563,64,566,64,0,0,0,0,0,0,271,54,566,64,482,72,0
4,Jhon,44,5,0.9,0.1,2,11,Duran,126,0,0,0,4,0,0,0,1,0,0,0,15,12.8,13.4,51,7.4,0,0.59,0.02,0.61,3.88,359,39,327,39,274,37,345,39,0.42,0,0.01,0.43,2.77,2.86,266,52,382,42,487,73,0
